date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:02:01	45363/45363	---MCZ	200	added ('OK')	text/html	etag:W/%225b9a0455-b133%22	https://berkahaluminium.neocities.org/	C:/My%20Web%20Sites/berkahaluminium.neocities.org/berkahaluminium.neocities.org/index.html	(from )
15:02:01	197/197	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225b9a0330-10f%22	https://berkahaluminium.neocities.org/robots.txt		(from )
15:02:03	271/271	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225b9a0330-10f%22	https://berkahaluminium.neocities.org/feed	C:/My%20Web%20Sites/berkahaluminium.neocities.org/berkahaluminium.neocities.org/feed	(from https://berkahaluminium.neocities.org/)
15:02:04	271/271	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225b9a0330-10f%22	https://berkahaluminium.neocities.org/comments/feed	C:/My%20Web%20Sites/berkahaluminium.neocities.org/berkahaluminium.neocities.org/comments/feed	(from https://berkahaluminium.neocities.org/)
15:02:05	12715/12715	---MCZ	200	added ('OK')	text/css	etag:W/%225b9a0412-31ab%22	https://berkahaluminium.neocities.org/wp-content/plugins/easy-facebook-likebox/public/assets/css/public.css?ver=4.3.8	C:/My%20Web%20Sites/berkahaluminium.neocities.org/berkahaluminium.neocities.org/wp-content/plugins/easy-facebook-likebox/public/assets/css/publicfeb0.css	(from https://berkahaluminium.neocities.org/)
15:02:07	30863/30863	---MCZ	200	added ('OK')	text/css	etag:W/%225b9a0412-788f%22	https://berkahaluminium.neocities.org/wp-content/plugins/easy-facebook-likebox/public/assets/css/font-awesome.css?ver=4.3.8	C:/My%20Web%20Sites/berkahaluminium.neocities.org/berkahaluminium.neocities.org/wp-content/plugins/easy-facebook-likebox/public/assets/css/font-awesomefeb0.css	(from https://berkahaluminium.neocities.org/)
15:02:08	72259/72259	---MCZ	200	added ('OK')	text/css	etag:W/%225b9a0411-11a43%22	https://berkahaluminium.neocities.org/wp-content/plugins/easy-facebook-likebox/public/assets/css/animate.css?ver=4.3.8	C:/My%20Web%20Sites/berkahaluminium.neocities.org/berkahaluminium.neocities.org/wp-content/plugins/easy-facebook-likebox/public/assets/css/animatefeb0.css	(from https://berkahaluminium.neocities.org/)
15:02:10	7789/7789	---MCZ	200	added ('OK')	text/css	etag:W/%225b9a041b-1e6d%22	https://berkahaluminium.neocities.org/wp-content/plugins/easy-facebook-likebox/public/assets/popup/magnific-popup.css?ver=4.3.8	C:/My%20Web%20Sites/berkahaluminium.neocities.org/berkahaluminium.neocities.org/wp-content/plugins/easy-facebook-likebox/public/assets/popup/magnific-popupfeb0.css	(from https://berkahaluminium.neocities.org/)
15:02:11	271/271	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225b9a0330-10f%22	https://berkahaluminium.neocities.org/wp-content/plugins/page-generator-pro/assets/css/frontend.css?ver=4.9.8	C:/My%20Web%20Sites/berkahaluminium.neocities.org/berkahaluminium.neocities.org/wp-content/plugins/page-generator-pro/assets/css/frontend5010.css	(from https://berkahaluminium.neocities.org/)
15:02:12	159557/159557	---MCZ	200	added ('OK')	text/css	etag:W/%225b9a03ec-26f45%22	https://berkahaluminium.neocities.org/wp-content/themes/mesmerize/style.min.css?ver=1.6.62	C:/My%20Web%20Sites/berkahaluminium.neocities.org/berkahaluminium.neocities.org/wp-content/themes/mesmerize/style.min9733.css	(from https://berkahaluminium.neocities.org/)
